url,Jenis/Bentuk Peraturan,Pemrakarsa,Nomor,Tahun,Tentang,Tempat Penetapan,Ditetapkan Tanggal,Pejabat yang Menetapkan,Status,Tahun Pengundangan,Nomor Pengundangan,Nomor Tambahan,Tanggal,Pejabat Pengundangan
https://peraturan.go.id/id/peraturan-bssn-no-3-tahun-2019,PERATURAN BADAN/LEMBAGA,BADAN SIBER DAN SANDI NEGARA,3,2019,ORGANISASI DAN TATA KERJA MUSEUM SANDI,Jakarta,15 Maret 2019,,Berlaku,2019,340,,26 Maret 2019,
https://peraturan.go.id/id/permenhan-no-11-tahun-2019,PERATURAN MENTERI,KEMENTERIAN PERTAHANAN,11,2019,BANTUAN MILITER ASING PADA PENANGGULANGAN BENCANA DI INDONESIA,Jakarta,21 Februari 2019,,Berlaku,2019,245,,04 Maret 2019,
https://peraturan.go.id/id/peraturan-bsn-no-8-tahun-2020,PERATURAN BADAN/LEMBAGA,BADAN STANDARDISASI NASIONAL,8,2020,TATA CARA PENYUSUNAN ANALISIS DAMPAK REGULASI DAN PELAKSANAAN KEWAJIBAN INTERNASIONAL,Jakarta,19 Maret 2020,,Berlaku,2020,767,,14 Juli 2020,
https://peraturan.go.id/id/peraturan-bkn-no-1-tahun-2023,PERATURAN BADAN/LEMBAGA,BADAN KEPEGAWAIAN NEGARA,1,2023,PEMBLOKIRAN DATA KEPEGAWAIAN DAN/ATAU LAYANAN KEPEGAWAIAN PADA SISTEM INFORMASI APARATUR SIPIL NEGARA,Jakarta,06 Januari 2023,BIMA HARIA WIBISANA,Berlaku,2023,40,,10 Januari 2023,ASEP N. MULYANA
https://peraturan.go.id/id/permenag-no-34-tahun-2020,PERATURAN MENTERI,KEMENTERIAN AGAMA,34,2020,STATUTA INSTITUT AGAMA HINDU NEGERI GDE PUDJA MATARAM,Jakarta,14 Desember 2020,,Berlaku,2020,1469,,14 Desember 2020,
https://peraturan.go.id/id/permendag-no-22-tahun-2022,PERATURAN MENTERI,KEMENTERIAN PERDAGANGAN,22,2022,"LARANGAN SEMENTARA EKSPOR CRUDE PALM OIL, REFINED, BLEACHED AND DEODORIZED PALM OIL, REFINED, BLEACHED AND DEODORIZED PALM OLEIN, DAN USED COOKING OIL",Jakarta,27 April 2022,,Berlaku,2022,457,,27 April 2022,
https://peraturan.go.id/id/uu-no-6-tahun-2023,UNDANG-UNDANG,PEMERINTAH PUSAT,6,2023,PENETAPAN PERATURAN PEMERINTAH PENGGANTI UNDANG-UNDANG NOMOR 2 TAHUN 2022 TENTANG CIPTA KERJA MENJADI UNDANG-UNDANG,Jakarta,31 Maret 2023,JOKO WIDODO,Berlaku,2023,41,6841,31 Maret 2023,Pratikno
https://peraturan.go.id/id/perda-provinsi-sulawesi-selatan-no-2-tahun-2019,PERATURAN DAERAH,PROVINSI SULAWESI SELATAN,2,2019,Provinsi Sulawesi Selatan Nomor 2 Tahun 2019 tentang Rencana Zonasi Wilayah Pesisir dan Pulau-Pulau Kecil Provinsi Sulawesi Selatan ,,08 Mei 2019,,Berlaku,,,,,
https://peraturan.go.id/id/perda-kota-malang-no-2-tahun-2004,PERATURAN DAERAH,KOTA MALANG,2,2004,RENCANA STRATEGIS KOTA MALANG TAHUN 2004 - 2008,,08 Maret 2004,,Berlaku,,2,,10 Maret 2004,
https://peraturan.go.id/id/permenhub-no-pm17-tahun-2020,PERATURAN MENTERI,KEMENTERIAN PERHUBUNGAN,PM17,2020,"PENGHENTIAN SEMENTARA PENGATURAN LALU LINTAS DENGAN SISTEM GANJIL-GENAP PADA RUAS TOL JAKARTA-CIKAMPEK, JAKARTA-BOGOR-CIAWI, DAN JAKARTA-TANGERANG",Jakarta,23 Maret 2020,,Berlaku,2020,294,,27 Maret 2020,
https://peraturan.go.id/id/perda-kabupaten-musi-rawas-no-1-tahun-2008,PERATURAN DAERAH,KABUPATEN MUSI RAWAS,1,2008,SUSUNAN ORGANISASI DAN TATA KERJA SEKRETARIAT DAERAH DAN SEKRETARIAT DEWAN PERWAKILAN RAKYAT DAERAH KABUPATEN MUSI RAWAS,,31 Januari 2008,,Berlaku,,1,,31 Januari 2008,
https://peraturan.go.id/id/permentan-no-41-tahun-2019,PERATURAN MENTERI,KEMENTERIAN PERTANIAN,41,2019,PEMASUKAN TERNAK RUMINANSIA BESAR KE DALAM WILAYAH NEGARA REPUBLIK INDONESIA,Jakarta,30 Juli 2019,,Berlaku,2019,847,,31 Juli 2019,
https://peraturan.go.id/id/peraturan-bnp2-no-10-tahun-2020,PERATURAN BADAN/LEMBAGA,BADAN NASIONAL PENCARIAN DAN PERTOLONGAN,10,2020,BASARNAS SPESIAL GRUP,Jakarta,16 Desember 2020,,Berlaku,2020,1609,,23 Desember 2020,
